x,y,Distance
Dolnośląskie,Pardubice,0.0
Dolnośląskie,Zlín,0.0
Dolnośląskie,Moravian-Silesian,0.0
Dolnośląskie,Małopolskie,0.0
Dolnośląskie,Śląskie,0.0
Dolnośląskie,Wielkopolskie,0.0
Dolnośląskie,Zachodniopomorskie,0.0
Dolnośląskie,Lubuskie,0.0
Dolnośląskie,Dolnośląskie,200.0
Dolnośląskie,Opolskie,0.0
Dolnośląskie,Kujawsko-Pomorskie,0.0
Dolnośląskie,Warmińsko-Mazurskie,0.0
Dolnośląskie,Pomorskie,0.0
Dolnośląskie,Łódzkie,0.0
Dolnośląskie,Świętokrzyskie,0.0
Dolnośląskie,Lubelskie,0.0
Dolnośląskie,Podkarpackie,0.0
Dolnośląskie,Podlaskie,0.0
Dolnośląskie,Mazowieckie,0.0
Opolskie,Prague,0.0
Opolskie,Central Bohemian,0.0
Opolskie,South Bohemian,0.0
Opolskie,Plzeň,0.0
Opolskie,Karlovy Vary,0.0
Opolskie,Ústí nad Labem,0.0
Opolskie,Liberec,0.0
Opolskie,Hradec Králové,0.0
Opolskie,Olomouc,0.0
Opolskie,South Moravian,0.0
Opolskie,Vysočina,0.0
Opolskie,Pardubice,0.0
Opolskie,Zlín,0.0
Opolskie,Moravian-Silesian,0.0
Opolskie,Małopolskie,0.0
Opolskie,Śląskie,0.0
Opolskie,Wielkopolskie,0.0
Opolskie,Zachodniopomorskie,0.0
Opolskie,Lubuskie,0.0
Opolskie,Dolnośląskie,0.0
Opolskie,Opolskie,200.0
Opolskie,Kujawsko-Pomorskie,0.0
Opolskie,Warmińsko-Mazurskie,0.0
Opolskie,Pomorskie,0.0
Opolskie,Łódzkie,0.0
Opolskie,Świętokrzyskie,0.0
Opolskie,Lubelskie,0.0
Opolskie,Podkarpackie,0.0
Opolskie,Podlaskie,0.0
Opolskie,Mazowieckie,0.0
Kujawsko-Pomorskie,Prague,0.0
Kujawsko-Pomorskie,Central Bohemian,34.43866965488529
Kujawsko-Pomorskie,South Bohemian,34.22334057925461
Kujawsko-Pomorskie,Plzeň,0.0
Kujawsko-Pomorskie,Karlovy Vary,0.0
Kujawsko-Pomorskie,Ústí nad Labem,0.0
Kujawsko-Pomorskie,Liberec,0.0
Kujawsko-Pomorskie,Hradec Králové,22.502720683110976
Kujawsko-Pomorskie,Olomouc,0.0
Kujawsko-Pomorskie,South Moravian,20.253857011960545
Kujawsko-Pomorskie,Vysočina,0.0
Kujawsko-Pomorskie,Pardubice,0.0
Kujawsko-Pomorskie,Zlín,23.025416728094147
Kujawsko-Pomorskie,Moravian-Silesian,0.0
Kujawsko-Pomorskie,Małopolskie,0.0
Kujawsko-Pomorskie,Śląskie,0.0
Kujawsko-Pomorskie,Wielkopolskie,0.0
Kujawsko-Pomorskie,Zachodniopomorskie,46.79134288819065
Kujawsko-Pomorskie,Lubuskie,30.005436256399882
Kujawsko-Pomorskie,Dolnośląskie,0.0
Kujawsko-Pomorskie,Opolskie,0.0
Kujawsko-Pomorskie,Kujawsko-Pomorskie,200.0
Kujawsko-Pomorskie,Warmińsko-Mazurskie,33.796634094778504
Kujawsko-Pomorskie,Pomorskie,56.2849412207055
Kujawsko-Pomorskie,Łódzkie,0.0
Kujawsko-Pomorskie,Świętokrzyskie,0.0
Kujawsko-Pomorskie,Lubelskie,59.6677264745333
Kujawsko-Pomorskie,Podkarpackie,23.78890389829759
Kujawsko-Pomorskie,Podlaskie,0.0
Kujawsko-Pomorskie,Mazowieckie,0.0
Warmińsko-Mazurskie,Prague,0.0
Warmińsko-Mazurskie,Central Bohemian,47.650375275652195
Warmińsko-Mazurskie,South Bohemian,66.59029412175573
Warmińsko-Mazurskie,Plzeň,0.0
Warmińsko-Mazurskie,Karlovy Vary,0.0
Warmińsko-Mazurskie,Ústí nad Labem,37.65651984143691
Warmińsko-Mazurskie,Liberec,55.60980027623371
Warmińsko-Mazurskie,Hradec Králové,47.82967365000121
Warmińsko-Mazurskie,Olomouc,0.0
Warmińsko-Mazurskie,South Moravian,42.02528587765999
Warmińsko-Mazurskie,Vysočina,0.0
Warmińsko-Mazurskie,Pardubice,0.0
Warmińsko-Mazurskie,Zlín,54.00482991635015
Warmińsko-Mazurskie,Moravian-Silesian,0.0
Warmińsko-Mazurskie,Małopolskie,0.0
